//NbLocations
289
//NbProducts
4205
//K: NbBoxesTrolley
8
//NbDimensionsCapacity
1
//B: CapaBox 
40
//A box can accept mixed orders(0: no, 1: yes)
1
//Products
//Idx Location Volume
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 17 1
19 18 1
20 19 1
21 20 1
22 21 1
23 22 1
24 23 1
25 24 1
26 25 1
27 26 1
28 27 1
29 28 1
30 16 1
31 4 1
32 29 1
33 30 1
34 31 1
35 32 1
36 33 1
37 34 1
38 35 1
39 36 1
40 37 1
41 38 1
42 26 1
43 39 1
44 40 1
45 41 1
46 42 1
47 7 1
48 43 1
49 44 1
50 45 1
51 46 1
52 47 1
53 48 1
54 28 1
55 49 1
56 50 1
57 51 1
58 52 1
59 3 1
60 53 1
61 54 1
62 55 1
63 56 1
64 57 1
65 58 1
66 59 1
67 60 1
68 61 1
69 62 1
70 63 1
71 64 1
72 65 1
73 20 1
74 10 1
75 66 1
76 67 1
77 1 1
78 17 1
79 14 1
80 68 1
81 47 1
82 47 1
83 69 1
84 70 1
85 71 1
86 71 1
87 72 1
88 73 1
89 74 1
90 75 1
91 76 1
92 77 1
93 18 1
94 2 1
95 17 1
96 78 1
97 79 1
98 80 1
99 81 1
100 82 1
101 83 1
102 84 1
103 82 1
104 85 1
105 86 1
106 87 1
107 88 1
108 89 1
109 37 1
110 47 1
111 90 1
112 91 1
113 77 1
114 89 1
115 92 1
116 93 1
117 94 1
118 6 1
119 95 1
120 82 1
121 96 1
122 19 1
123 97 1
124 98 1
125 99 1
126 100 1
127 101 1
128 102 1
129 76 1
130 52 1
131 103 1
132 104 1
133 87 1
134 105 1
135 106 1
136 107 1
137 108 1
138 17 1
139 58 1
140 109 1
141 47 1
142 110 1
143 24 1
144 111 1
145 58 1
146 112 1
147 38 1
148 113 1
149 114 1
150 77 1
151 50 1
152 113 1
153 58 1
154 115 1
155 116 1
156 17 1
157 117 1
158 118 1
159 119 1
160 120 1
161 95 1
162 87 1
163 121 1
164 122 1
165 80 1
166 48 1
167 66 1
168 31 1
169 123 1
170 124 1
171 125 1
172 126 1
173 127 1
174 128 1
175 129 1
176 48 1
177 130 1
178 119 1
179 131 1
180 132 1
181 133 1
182 25 1
183 73 1
184 134 1
185 41 1
186 64 1
187 135 1
188 91 1
189 66 1
190 94 1
191 136 1
192 43 1
193 89 1
194 49 1
195 131 1
196 22 1
197 137 1
198 32 1
199 131 1
200 138 1
201 139 1
202 88 1
203 24 1
204 140 1
205 141 1
206 130 1
207 26 1
208 142 1
209 143 1
210 144 1
211 145 1
212 146 1
213 129 1
214 147 1
215 116 1
216 148 1
217 40 1
218 149 1
219 150 1
220 126 1
221 151 1
222 152 1
223 78 1
224 72 1
225 153 1
226 101 1
227 154 1
228 25 1
229 82 1
230 135 1
231 155 1
232 34 1
233 142 1
234 83 1
235 144 1
236 2 1
237 156 1
238 157 1
239 78 1
240 158 1
241 34 1
242 41 1
243 113 1
244 159 1
245 160 1
246 161 1
247 44 1
248 162 1
249 163 1
250 164 1
251 135 1
252 165 1
253 31 1
254 124 1
255 96 1
256 123 1
257 54 1
258 58 1
259 90 1
260 57 1
261 62 1
262 134 1
263 166 1
264 72 1
265 155 1
266 1 1
267 49 1
268 14 1
269 53 1
270 167 1
271 11 1
272 164 1
273 168 1
274 169 1
275 170 1
276 63 1
277 108 1
278 171 1
279 42 1
280 67 1
281 129 1
282 64 1
283 23 1
284 27 1
285 172 1
286 159 1
287 92 1
288 5 1
289 12 1
290 112 1
291 121 1
292 5 1
293 101 1
294 69 1
295 81 1
296 2 1
297 140 1
298 2 1
299 173 1
300 44 1
301 99 1
302 124 1
303 174 1
304 73 1
305 80 1
306 26 1
307 93 1
308 107 1
309 121 1
310 175 1
311 63 1
312 69 1
313 176 1
314 177 1
315 95 1
316 178 1
317 140 1
318 179 1
319 18 1
320 42 1
321 180 1
322 113 1
323 46 1
324 24 1
325 181 1
326 1 1
327 182 1
328 183 1
329 103 1
330 133 1
331 18 1
332 122 1
333 33 1
334 152 1
335 184 1
336 72 1
337 110 1
338 68 1
339 101 1
340 136 1
341 185 1
342 160 1
343 104 1
344 114 1
345 142 1
346 167 1
347 76 1
348 186 1
349 172 1
350 162 1
351 51 1
352 147 1
353 39 1
354 187 1
355 188 1
356 138 1
357 189 1
358 4 1
359 29 1
360 165 1
361 30 1
362 190 1
363 96 1
364 191 1
365 192 1
366 118 1
367 193 1
368 194 1
369 82 1
370 156 1
371 195 1
372 35 1
373 189 1
374 127 1
375 196 1
376 14 1
377 190 1
378 19 1
379 91 1
380 153 1
381 197 1
382 198 1
383 199 1
384 181 1
385 200 1
386 67 1
387 201 1
388 153 1
