//alpha
1
//NbLocations
381
//NbProducts
971
//NbPickers
4
//CapaPicker
30
//TimeToTravelOneDistanceUnit
1
//SetupTime
1800
//PickTime
100
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
19 19 1
20 20 1
21 21 1
22 22 1
23 23 1
24 24 1
25 25 1
26 18 1
27 26 1
28 27 1
29 28 1
30 29 1
31 30 1
32 31 1
33 32 1
34 33 1
35 34 1
36 22 1
37 35 1
38 36 1
39 37 1
40 38 1
41 39 1
42 40 1
43 41 1
44 18 1
45 12 1
46 42 1
47 43 1
48 44 1
49 45 1
50 46 1
51 47 1
52 48 1
53 49 1
54 13 1
55 50 1
56 26 1
57 51 1
58 52 1
59 53 1
60 21 1
61 41 1
62 54 1
63 55 1
64 56 1
65 57 1
66 13 1
67 32 1
68 30 1
69 58 1
70 21 1
71 59 1
72 60 1
73 61 1
74 62 1
75 18 1
76 63 1
77 64 1
78 65 1
79 66 1
80 67 1
81 68 1
82 69 1
83 70 1
84 71 1
85 72 1
86 73 1
87 74 1
88 75 1
89 36 1
90 76 1
91 77 1
92 78 1
93 9 1
94 79 1
95 80 1
96 13 1
97 81 1
98 82 1
99 29 1
100 45 1
101 83 1
102 27 1
103 84 1
104 85 1
105 23 1
106 86 1
107 87 1
108 88 1
109 89 1
110 90 1
111 91 1
112 34 1
113 92 1
114 93 1
115 94 1
116 95 1
117 96 1
118 97 1
119 98 1
120 7 1
121 99 1
122 100 1
123 34 1
124 101 1
125 102 1
126 80 1
127 103 1
128 104 1
129 94 1
130 105 1
131 106 1
132 107 1
133 87 1
134 20 1
135 108 1
136 11 1
137 27 1
138 109 1
139 85 1
140 23 1
141 13 1
142 110 1
143 111 1
144 112 1
145 96 1
146 113 1
147 114 1
148 39 1
149 115 1
150 116 1
151 107 1
152 117 1
153 84 1
154 118 1
155 119 1
156 88 1
157 120 1
158 121 1
159 122 1
160 123 1
161 124 1
162 42 1
163 57 1
164 119 1
165 21 1
166 87 1
167 125 1
168 34 1
169 126 1
170 127 1
171 128 1
172 29 1
173 129 1
174 130 1
175 131 1
176 132 1
177 133 1
178 102 1
179 26 1
180 134 1
181 135 1
182 136 1
183 137 1
184 138 1
185 139 1
186 140 1
187 141 1
188 22 1
189 142 1
190 129 1
191 64 1
192 29 1
193 143 1
194 66 1
195 85 1
196 144 1
197 40 1
198 94 1
199 132 1
200 16 1
201 70 1
202 18 1
203 71 1
204 18 1
205 9 1
206 145 1
207 146 1
208 147 1
209 148 1
210 128 1
211 149 1
212 150 1
213 80 1
214 151 1
215 152 1
216 94 1
217 89 1
218 21 1
219 153 1
220 154 1
221 155 1
222 156 1
223 16 1
224 15 1
225 157 1
226 158 1
227 6 1
228 159 1
229 160 1
230 161 1
231 128 1
232 162 1
233 163 1
234 14 1
235 66 1
236 164 1
237 70 1
238 26 1
239 65 1
240 79 1
241 165 1
242 166 1
243 66 1
244 146 1
245 167 1
246 16 1
247 168 1
248 77 1
249 169 1
250 119 1
251 170 1
252 171 1
253 132 1
254 172 1
255 173 1
256 117 1
257 174 1
258 175 1
259 116 1
260 176 1
261 139 1
262 177 1
263 178 1
264 179 1
265 180 1
266 83 1
267 161 1
268 81 1
269 170 1
270 181 1
271 94 1
272 88 1
273 182 1
274 22 1
275 183 1
276 184 1
277 185 1
278 7 1
279 46 1
280 134 1
281 186 1
282 79 1
283 156 1
284 19 1
285 187 1
286 188 1
287 189 1
288 190 1
289 101 1
290 148 1
291 45 1
292 77 1
293 20 1
294 118 1
295 191 1
296 131 1
297 192 1
298 14 1
299 193 1
300 194 1
301 195 1
302 4 1
303 10 1
304 14 1
305 68 1
306 138 1
307 133 1
308 196 1
309 197 1
310 198 1
311 199 1
312 200 1
313 201 1
314 41 1
315 53 1
316 202 1
317 47 1
318 203 1
319 204 1
320 118 1
321 61 1
322 129 1
323 205 1
324 20 1
325 183 1
326 206 1
327 91 1
328 207 1
329 16 1
330 42 1
331 208 1
332 209 1
333 111 1
334 14 1
335 19 1
336 3 1
337 134 1
338 42 1
339 210 1
340 209 1
341 127 1
342 53 1
343 211 1
344 18 1
345 27 1
346 207 1
347 212 1
348 13 1
349 18 1
350 156 1
351 213 1
352 214 1
353 53 1
354 215 1
355 216 1
356 156 1
357 217 1
358 218 1
359 219 1
360 70 1
361 41 1
362 150 1
363 29 1
364 194 1
365 186 1
366 220 1
367 198 1
368 34 1
369 221 1
370 158 1
371 182 1
372 174 1
373 185 1
374 69 1
375 222 1
376 223 1
377 224 1
378 131 1
379 225 1
380 215 1
381 28 1
382 42 1
383 27 1
384 170 1
385 8 1
386 196 1
387 205 1
388 226 1
389 227 1
