//alpha
1
//NbLocations
84
//NbProducts
29
//NbPickers
2
//CapaPicker
12
//TimeToTravelOneDistanceUnit
3
//SetupTime
5400
//PickTime
300
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
19 19 1
20 20 1
21 21 1
22 22 1
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 28 1
29 29 1
//Orders
//NbOrders
6
//Idx DueDate TardinessPenalty NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ...
1 54000 0 1 1 1
2 54000 0 3 2 1 3 1 4 1
3 72000 0 7 5 1 6 1 7 1 8 1 9 1 10 1 11 1
4 90000 0 8 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1
5 72000 0 8 20 1 21 1 22 1 23 1 24 1 25 1 26 1 27 1
6 90000 0 2 28 1 29 1
//Graph (Products are vertices indexed from 1 to NbProducts)
//NbVerticesIntersections
54
//DepartingDepot
0
//ArrivalDepot
84
//Arcs
//Start End Distance
0 30 120
1 3 104
1 28 91
2 46 232
2 47 999
3 1 104
3 23 299
4 7 364
4 33 375
5 42 336
5 43 895
6 22 182
6 27 78
7 4 364
7 34 492
8 52 245
8 53 986
9 54 245
9 55 986
10 45 401
10 46 830
11 55 830
11 56 401
12 16 143
12 23 390
13 21 364
13 25 143
14 40 258
14 41 973
15 49 258
15 50 973
16 12 143
16 38 167
17 34 1194
17 35 37
18 31 1077
18 32 154
19 48 804
19 49 427
20 27 130
20 31 167
21 13 364
21 26 598
22 6 182
22 30 674
23 3 299
23 12 390
24 63 856
24 64 375
25 13 143
25 36 37
26 21 598
26 37 89
27 6 78
27 20 130
28 1 91
28 37 37
29 39 323
29 40 908
30 22 674
30 33 48
30 84 120
31 18 1077
31 20 167
31 34 48
32 18 154
32 35 48
33 4 375
33 30 48
33 36 48
34 7 492
34 17 1194
34 31 48
34 37 48
35 17 37
35 32 48
35 38 48
36 25 37
36 33 48
36 39 48
37 26 89
37 28 37
37 34 48
37 40 48
38 16 167
38 35 48
38 41 48
39 29 323
39 36 48
39 42 48
40 14 258
40 29 908
40 37 48
40 43 48
41 14 973
41 38 48
41 44 48
42 5 336
42 39 48
42 45 48
43 5 895
43 40 48
43 44 1231
43 46 48
44 41 48
44 43 1231
44 47 48
45 10 401
45 42 48
45 48 48
46 2 232
46 10 830
46 43 48
46 49 48
47 2 999
47 44 48
47 50 48
48 19 804
48 45 48
48 51 48
49 15 258
49 19 427
49 46 48
49 52 48
50 15 973
50 47 48
50 53 48
51 48 48
51 52 1231
51 54 48
52 8 245
52 49 48
52 51 1231
52 55 48
53 8 986
53 50 48
53 56 48
54 9 245
54 51 48
54 57 48
55 9 986
55 11 830
55 52 48
55 58 48
56 11 401
56 53 48
56 59 48
57 54 48
57 58 1231
57 60 48
58 55 48
58 57 1231
58 59 1231
58 61 48
59 56 48
59 58 1231
59 62 48
60 57 48
60 61 1231
60 63 48
61 58 48
61 60 1231
61 62 1231
61 64 48
62 59 48
62 61 1231
62 65 48
63 24 856
63 60 48
63 66 48
64 24 375
64 61 48
64 65 1231
64 67 48
65 62 48
65 64 1231
65 68 48
66 63 48
66 67 1231
66 69 48
67 64 48
67 66 1231
67 68 1231
67 70 48
68 65 48
68 67 1231
68 71 48
69 66 48
69 70 1231
69 72 48
70 67 48
70 69 1231
70 71 1231
70 73 48
71 68 48
71 70 1231
71 74 48
72 69 48
72 73 1231
72 75 48
73 70 48
73 72 1231
73 74 1231
73 76 48
74 71 48
74 73 1231
74 77 48
75 72 48
75 76 1231
75 78 48
76 73 48
76 75 1231
76 77 1231
76 79 48
77 74 48
77 76 1231
77 80 48
78 75 48
78 79 1231
78 81 48
79 76 48
79 78 1231
79 80 1231
79 82 48
80 77 48
80 79 1231
80 83 48
81 78 48
81 82 1231
82 79 48
82 81 1231
82 83 1231
83 80 48
83 82 1231
//LocStart LocEnd ShortestPath
0 0 0
0 1 1575
0 2 1823
0 3 1679
0 4 543
0 5 648
0 6 976
0 7 907
0 8 1932
0 9 749
0 10 761
0 11 2565
0 12 2368
0 13 396
0 14 1753
0 15 1897
0 16 2511
0 17 2593
0 18 2428
0 19 1212
0 20 1184
0 21 760
0 22 794
0 23 1978
0 24 1504
0 25 253
0 26 1358
0 27 1054
0 28 1484
0 29 587
0 30 120
0 31 1351
0 32 2582
0 33 168
0 34 1399
0 35 2630
0 36 216
0 37 1447
0 38 2678
0 39 264
0 40 1495
0 41 2726
0 42 312
0 43 1543
0 44 2774
0 45 360
0 46 1591
0 47 2822
0 48 408
0 49 1639
0 50 2870
0 51 456
0 52 1687
0 53 2918
0 54 504
0 55 1735
0 56 2966
0 57 552
