InstanceId,Replication,NbPickers,NbAisles,StorageLocationAssignmentPolicy,BatchCapacity,Due time,NbOrders,UBILS,Cpu(s),NbBatchesInSol,UBCGH,LBRootAfterCuts,RootGap(%),NbColumns,SizePool,NbIterLP(roundsOfCuts),NbIterMasterPricing,NbIterFindInPool,InitialUBPool,LBBeforeCuts,NbMTcuts,NbFSLcuts,NbR1cuts,NbSCcuts,TimePricing(s),TimePdyn(s),TimeMaster(s),TimeHeuristic(s),TimeInitTours(s),TimeMIP(s),TimeCuts(s),timeInitPool(s)
7.0,1.0,4.0,12.0,1.0,15.0,1.0,100.0,360314.0,8806.8,52.0,359348.0,359274.57,0.02,8787.0,4234.0,8.0,142.0,57.0,363932.0,358898.19,0.0,0.0,89.0,230.0,8015.8,96.59,0.77,17.46,5.33,36.18,87.59,600.23
8.0,1.0,3.0,12.0,1.0,15.0,2.0,100.0,308226.0,14459.0,45.0,307160.0,297776.5,3.15,15516.0,8400.0,1.0,183.0,87.0,311090.0,297776.5,0.0,0.0,0.0,0.0,13740.4,86.39,0.48,21.4,5.56,55.6,0.0,600.36
9.0,1.0,4.0,12.0,1.0,15.0,3.0,100.0,337286.0,13007.0,48.0,332952.0,332919.0,0.01,11671.0,5502.0,4.0,184.0,73.0,339436.0,332843.44,0.0,0.0,60.0,266.0,12270.05,107.77,1.1,21.89,5.22,39.56,31.26,600.22
34.0,1.0,3.0,12.0,2.0,15.0,1.0,100.0,285768.0,7515.6,46.0,281668.0,281604.34,0.02,7808.0,5806.0,7.0,187.0,90.0,287048.0,281480.31,0.0,0.0,82.0,247.0,6778.61,84.65,0.77,17.04,4.38,23.26,62.92,600.33
35.0,1.0,3.0,12.0,2.0,15.0,2.0,100.0,279886.0,2405.7,46.0,278818.0,278818.0,0.0,6821.0,6913.0,2.0,131.0,74.0,280338.0,278802.33,0.0,0.0,20.0,277.0,1740.96,50.89,0.53,11.54,4.56,13.22,5.91,603.95
36.0,1.0,4.0,12.0,2.0,15.0,3.0,100.0,265444.0,11912.0,44.0,264642.0,264507.19,0.05,12169.0,7255.0,11.0,212.0,84.0,267812.0,264157.67,0.0,0.0,194.0,325.0,11002.75,93.67,3.31,19.65,4.25,155.46,86.68,600.46
61.0,1.0,3.0,12.0,3.0,15.0,1.0,100.0,292240.0,14403.0,46.0,290672.0,283569.84,2.5,15486.0,6650.0,1.0,207.0,92.0,294220.0,283569.84,0.0,0.0,0.0,0.0,13738.69,95.5,0.54,29.71,4.92,3.06,0.0,600.25
62.0,1.0,4.0,12.0,3.0,15.0,2.0,100.0,337164.0,2924.4,52.0,336990.0,336986.67,0.0,5971.0,5022.0,3.0,89.0,45.0,341150.0,336830.86,0.0,0.0,20.0,271.0,2250.45,63.14,0.25,10.43,5.12,13.8,22.72,600.18
63.0,1.0,4.0,12.0,3.0,15.0,3.0,100.0,294490.0,14427.0,46.0,290830.0,286860.82,1.38,12448.0,6901.0,1.0,205.0,89.0,296764.0,286860.82,0.0,0.0,0.0,0.0,13769.64,102.39,0.43,23.31,5.25,2.75,0.0,600.17
88.0,1.0,5.0,24.0,1.0,15.0,1.0,100.0,510786.0,14417.0,47.0,505782.0,459615.96,10.04,14581.0,4673.0,1.0,124.0,52.0,515290.0,459615.96,0.0,0.0,0.0,0.0,13706.97,186.7,0.27,34.52,10.47,6.85,0.0,600.58
89.0,1.0,5.0,24.0,1.0,15.0,2.0,100.0,453518.0,14413.0,43.0,449938.0,401291.45,12.12,12142.0,6307.0,1.0,209.0,102.0,461216.0,401291.45,0.0,0.0,0.0,0.0,13705.15,211.52,0.41,48.6,10.99,3.93,0.0,600.17
90.0,1.0,6.0,24.0,1.0,15.0,3.0,100.0,533726.0,14417.0,50.0,532180.0,487407.53,9.19,12360.0,4667.0,1.0,161.0,68.0,541818.0,487407.53,0.0,0.0,0.0,0.0,13691.47,198.44,0.32,39.32,11.34,17.35,0.0,600.41
115.0,1.0,5.0,24.0,2.0,15.0,1.0,100.0,440786.0,14418.0,48.0,437212.0,437173.13,0.01,10987.0,5139.0,2.0,119.0,52.0,442664.0,437173.13,0.0,0.0,20.0,0.0,13717.85,210.4,0.21,23.89,9.27,2.61,8.44,600.08
116.0,1.0,5.0,24.0,2.0,15.0,2.0,100.0,487356.0,4757.3,52.0,482316.0,482243.0,0.02,6221.0,4262.0,2.0,87.0,46.0,489698.0,482206.22,0.0,0.0,20.0,0.0,4055.85,142.54,0.08,17.43,9.13,1.66,14.97,600.25
117.0,1.0,6.0,24.0,2.0,15.0,3.0,100.0,426670.0,10404.0,47.0,426260.0,425972.0,0.07,8859.0,5203.0,2.0,137.0,60.0,434178.0,425893.71,0.0,0.0,20.0,1.0,9698.12,163.53,0.19,27.91,9.82,5.62,12.94,600.55
142.0,1.0,5.0,24.0,3.0,15.0,1.0,100.0,452266.0,14418.0,48.0,446980.0,421548.06,6.03,12310.0,4566.0,1.0,146.0,58.0,454426.0,421548.06,0.0,0.0,0.0,0.0,13719.18,202.88,0.28,35.05,10.6,8.07,0.0,600.33
143.0,1.0,5.0,24.0,3.0,15.0,2.0,100.0,449182.0,14411.0,47.0,443156.0,427655.5,3.62,11322.0,5387.0,1.0,129.0,51.0,452340.0,427655.5,0.0,0.0,0.0,0.0,13725.32,213.78,0.24,30.52,10.85,2.04,0.0,600.38
144.0,1.0,6.0,24.0,3.0,15.0,3.0,100.0,471632.0,14443.0,51.0,470692.0,431457.0,9.09,11583.0,4785.0,1.0,147.0,62.0,474740.0,431457.0,0.0,0.0,0.0,0.0,13706.38,178.64,0.29,34.94,11.3,42.49,0.0,600.05
169.0,1.0,6.0,36.0,1.0,15.0,1.0,100.0,708648.0,15002.0,49.0,700658.0,623780.58,12.32,12187.0,3144.0,1.0,161.0,34.0,717096.0,623780.58,0.0,0.0,0.0,0.0,12947.86,303.92,0.4,767.77,16.83,600.39,0.0,602.85
170.0,1.0,6.0,36.0,1.0,15.0,2.0,100.0,583298.0,14424.0,42.0,583242.0,423586.18,37.69,16121.0,6235.0,1.0,155.0,95.0,593476.0,423586.18,0.0,0.0,0.0,0.0,13674.94,229.13,0.32,55.98,17.27,12.91,0.0,600.78
196.0,1.0,6.0,36.0,2.0,15.0,1.0,100.0,559908.0,14413.0,46.0,554032.0,508877.73,8.87,11172.0,5152.0,1.0,184.0,79.0,564688.0,508877.73,0.0,0.0,0.0,0.0,13667.41,263.03,0.33,60.63,14.38,12.89,0.0,600.16
197.0,1.0,6.0,36.0,2.0,15.0,2.0,100.0,652180.0,6457.8,52.0,650470.0,650421.0,0.01,6875.0,3843.0,5.0,63.0,26.0,660982.0,649742.8,0.0,0.0,18.0,17.0,5715.92,265.12,0.08,19.36,13.48,3.46,35.51,601.34
198.0,1.0,7.0,36.0,2.0,15.0,3.0,100.0,547630.0,14425.0,43.0,542908.0,512444.82,5.94,12466.0,5451.0,1.0,165.0,82.0,553826.0,512444.82,0.0,0.0,0.0,0.0,13693.25,277.77,0.33,49.45,14.93,15.16,0.0,600.35
223.0,1.0,6.0,36.0,3.0,15.0,1.0,100.0,525258.0,14416.0,43.0,520632.0,422416.72,23.25,13438.0,4942.0,1.0,140.0,66.0,533126.0,422416.72,0.0,0.0,0.0,0.0,13599.52,253.4,0.34,127.9,17.04,16.03,0.0,601.22
224.0,1.0,6.0,36.0,3.0,15.0,2.0,100.0,614394.0,14404.0,49.0,610600.0,578717.74,5.51,10760.0,4995.0,1.0,143.0,55.0,619936.0,578717.74,0.0,0.0,0.0,0.0,13673.77,320.86,0.25,51.63,17.72,3.27,0.0,600.35
225.0,1.0,7.0,36.0,3.0,15.0,3.0,100.0,654416.0,5943.7,51.0,649296.0,649296.0,0.0,7840.0,3235.0,1.0,114.0,31.0,662252.0,649296.0,0.0,0.0,0.0,0.0,5202.38,226.98,0.16,58.18,16.85,3.51,5.47,602.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
