;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
60;20;1;408.8;True;408.8;0.5;408.8;0.53;408.8;0.56;522.6;True;522.6;0.21;522.6;0.22;522.6;0.21;471.8;True;471.8;0.6;471.8;0.63;471.8;0.57;437.8;True;437.8;0.38;437.8;0.38;437.8;0.4;394.8;True;394.8;0.24;394.8;0.23;394.8;0.23;384.6;True;384.6;0.52;384.6;0.46;384.6;0.5
60;20;2;423;True;423;0.2;423;0.24;423;0.22;530.6;True;530.6;0.17;530.6;0.21;530.6;0.21;467;True;467;0.26;467;0.27;467;0.27;445.2;True;445.2;0.7;445.2;0.74;445.2;0.69;405.6;True;405.6;0.52;405.6;0.48;405.6;0.46;394.8;True;394.8;0.49;394.8;0.49;394.8;0.52
60;20;3;434.6;True;434.6;2.5;434.6;0.86;434.6;0.94;547.6;True;547.6;0.41;547.6;0.41;547.6;0.45;490.8;True;490.8;0.52;490.8;0.52;490.8;0.51;452.8;True;452.8;0.34;452.8;0.35;452.8;0.36;415.8;True;415.8;0.42;415.8;0.4;415.8;0.42;402.8;True;402.8;0.78;402.8;0.77;402.8;0.76
60;20;4;335.2;True;335.2;0.15;335.2;0.19;335.2;0.16;436.2;True;436.2;0.15;436.2;0.15;436.2;0.15;379.2;True;379.2;0.39;379.2;0.41;379.2;0.4;358.2;True;358.2;0.28;358.2;0.3;358.2;0.3;323.2;True;323.2;0.16;323.2;0.16;323.2;0.16;317.2;True;317.2;0.38;317.2;0.36;317.2;0.36
60;20;5;312.6;True;312.6;0.16;312.6;0.18;312.6;0.14;398.4;True;398.4;0.21;398.4;0.21;398.4;0.21;381.4;True;381.4;0.34;381.4;0.34;381.4;0.31;350.4;True;350.4;0.44;350.4;0.46;350.4;0.44;303.4;True;303.4;0.33;303.4;0.32;303.4;0.3;296.4;True;296.4;0.52;296.4;0.52;296.4;0.49
60;20;6;302.4;True;302.4;101.96;302.4;13.01;302.4;31.96;390.4;True;390.4;0.67;390.4;0.67;390.4;0.66;360.4;True;360.4;11.68;360.4;11.7;360.4;5.38;331.4;True;331.4;7.07;331.4;7.55;331.4;7.38;290.4;True;290.4;1.76;290.4;1.72;290.4;2.31;290.4;True;290.4;19.1;290.4;18.65;290.4;14.87
60;20;7;317.4;True;317.4;4.89;317.4;5.29;317.4;3.75;412.4;True;412.4;0.37;412.4;0.38;412.4;0.4;357.4;True;357.4;0.91;357.4;0.95;357.4;0.95;331.4;True;331.4;1.12;331.4;1.17;331.4;1.17;306.4;True;306.4;9.44;306.4;9.35;306.4;9.81;299.4;True;299.4;9.88;299.4;9.64;299.4;7.94
60;20;8;302.4;True;302.4;0.1;302.4;0.11;302.4;0.13;431.4;True;431.4;0.18;431.4;0.18;431.4;0.18;350.4;True;350.4;0.55;350.4;0.59;350.4;0.58;334.4;True;334.4;1.93;334.4;2.05;334.4;2.05;298.4;True;298.4;0.35;298.4;0.34;298.4;0.34;298.4;True;298.4;2.16;298.4;2.1;298.4;2.08
