;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;125;1;3819.8;False;3815.29;TL;3823.2;120;3834.2;120;4608;True;4608;2381.46;4613;62.27;4615;120;3866.8;False;3863.31;TL;3869.8;93.09;3880.8;120;3710.8;False;3709.4;TL;3716;83.96;3728.6;120;3652.8;False;3643.21;TL;3677.2;120;3663;120;3529.2;False;3526.18;TL;3531.6;80.47;3574;120
24;125;2;3743;False;3740.77;TL;3794;120;3754.4;120;4484.2;False;4476.35;TL;4484.2;101.67;4505.4;120;3733.4;False;3724.46;TL;3733.4;120;3750.6;120;3596.4;False;3594.96;TL;3596.4;47.65;3623.2;120;3529.4;False;3523.76;TL;3538.8;120;3549.8;120;3420.6;False;3415.96;TL;3420.6;74.96;3435.2;120
24;125;3;3461.8;False;3457.33;TL;3465.2;120;3471;120;4182.2;False;4181.72;TL;4205.4;120;4190.6;120;3446.2;False;3445.94;TL;3449.2;104.96;3447.6;120;3336.4;False;3335.82;TL;3338.2;91.72;3341.2;120;3280.8;False;3274.68;TL;3280.8;89.94;3285.6;120;3161.4;False;3160.21;TL;3168.6;120;3181.4;120
24;125;4;3535.2;True;3535.2;995.86;3536.2;98.43;3541.4;120;4301.4;True;4301.4;441.46;4307.4;72.53;4307.4;120;3530.8;True;3530.8;135.34;3533.8;33.96;3530.8;120;3414.8;True;3414.8;473.21;3415.8;30.02;3414.8;120;3336.2;True;3336.2;1717.17;3337;97.17;3339.2;120;3237.4;True;3237.4;545.56;3238.6;64.03;3237.8;120
24;125;5;3739.4;True;3739.4;1259.6;3744.8;120;3742.6;120;4473;True;4473;592.7;4473;45.59;4476;120;3693.6;True;3693.6;916.07;3693.6;30.58;3695.6;120;3571;True;3571;1931.78;3574;35.13;3575.6;120;3505;True;3505;962.49;3507;43.07;3508.8;120;3395.6;True;3395.6;1545.65;3398.4;120;3396.4;120
24;125;6;3834.6;False;3831.54;TL;3845.6;120;3878.8;120;4629.8;True;4629.8;2452.41;4631.8;18.04;4633.2;120;3826.8;False;3819.1;TL;3826.8;101.48;3836.8;120;3701.8;True;3701.8;669.42;3708.6;111.82;3707.8;120;3630.2;True;3630.2;1504.11;3632;18.67;3648.8;120;3521.2;True;3521.2;1144.8;3524.8;20.81;3560.8;120
24;125;7;3527.2;False;3526.29;TL;3529.4;120;3534.2;120;4253.2;True;4253.2;285.02;4258.2;47.12;4253.2;120;3441.6;True;3441.6;698.26;3441.6;46.59;3444.6;120;3354.2;True;3354.2;1159.96;3354.2;22.75;3369.2;120;3329;True;3329;3283.21;3330;116.88;3329.8;120;3212;True;3212;209.26;3214.4;38.89;3215.4;120
24;125;8;3916.2;True;3916.2;1434.54;3916.6;29.5;3916.8;120;4662.6;True;4662.6;160.46;4662.6;16.54;4665;120;3966;True;3966;250.32;3966;23.35;3966;120;3844.4;True;3844.4;92.81;3847.6;32.69;3844.4;120;3728;True;3728;777.8;3728.2;46.53;3728;120;3619.8;True;3619.8;1598.25;3622.2;73.29;3622;120
