;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;100;1;2851.8;True;2851.8;122.77;2851.8;5.91;2851.8;120;3384.2;True;3384.2;12.18;3384.2;4.68;3384.2;5.28;2869.8;True;2869.8;30.88;2870.8;2.34;2869.8;20.23;2783.6;True;2783.6;67.43;2783.6;4.84;2783.6;35.3;2694.2;True;2694.2;18.68;2698.6;11.7;2694.2;9.75;2630.2;True;2630.2;79.12;2630.8;9.36;2630.2;62.72
24;100;2;2823.4;True;2823.4;22.7;2823.6;2.01;2823.4;44.07;3454.8;True;3454.8;80.63;3455.6;6.81;3454.8;68.66;2878;True;2878;44.81;2883;12.86;2878;50.28;2778;True;2778;12.77;2783.6;8.2;2778;9.43;2675.6;True;2675.6;17.51;2678.6;5.71;2675.6;4.93;2632.8;True;2632.8;75.17;2634.6;6.59;2632.8;103.13
24;100;3;2816.8;True;2816.8;18.16;2816.8;2.38;2816.8;5.78;3474.4;True;3474.4;25.75;3480.2;6.36;3474.4;19.92;2868.4;True;2868.4;39.18;2870.2;5.65;2868.4;22.79;2768.4;True;2768.4;49.73;2769.8;8.29;2768.4;27.67;2698;True;2698;4.13;2700;3.37;2698;2.44;2627.2;True;2627.2;51.39;2627.2;7.38;2627.2;42.72
24;100;4;2820.8;True;2820.8;64;2822;8.83;2820.8;120;3449.2;True;3449.2;7.88;3452.2;1.11;3449.2;2.4;2875;True;2875;14.03;2881.6;9.52;2875;4.57;2769;True;2769;39.77;2770;6.91;2769;15.72;2685.2;True;2685.2;22.47;2685.2;5.99;2685.2;4.85;2620.4;True;2620.4;13.58;2620.4;2.47;2620.4;10.65
24;100;5;2842.2;True;2842.2;86.18;2844;10.14;2842.2;120;3458;True;3458;44.7;3459.2;3.02;3458;20.3;2843.4;True;2843.4;9.05;2843.4;1.06;2843.4;4.6;2764.4;True;2764.4;21.96;2765.6;6.48;2764.4;12.7;2705.4;True;2705.4;19.54;2705.4;2.16;2705.4;7.84;2630.2;True;2630.2;9.63;2631.2;5.07;2630.2;7.72
24;100;6;2958.8;True;2958.8;370.55;2960.8;23.12;2958.8;120;3614.2;True;3614.2;28.26;3615.6;5.04;3614.2;9.38;2889.6;True;2889.6;27.32;2889.6;4.36;2889.6;16.33;2812.2;True;2812.2;2.48;2812.2;1.37;2812.2;1.07;2798;True;2798;136.57;2798;16.33;2798;120;2700.8;True;2700.8;68.56;2702;12.53;2700.8;73.95
24;100;7;2822;True;2822;9.32;2827.8;9.6;2822;6.39;3389;True;3389;39.64;3389;4.2;3389;16.92;2854.6;True;2854.6;9.22;2860.4;5.29;2854.6;8.48;2744.6;True;2744.6;3.53;2746.6;1.67;2744.6;1.74;2683.6;True;2683.6;4.36;2689.4;7.87;2683.6;2.21;2626.2;True;2626.2;86.29;2627.6;13.86;2627.4;120
24;100;8;2788.8;True;2788.8;13.25;2791.8;5.69;2788.8;15.99;3347.2;True;3347.2;5.76;3351.8;3.51;3347.2;2.01;2831.8;True;2831.8;84.18;2833.8;7.03;2831.8;120;2695.8;True;2695.8;8.12;2699.8;3.43;2695.8;5.03;2644.6;True;2644.6;10.56;2644.6;1.48;2644.6;3.16;2561;True;2561;73.7;2561.4;4.88;2561;45.2
