;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
6;200;0;18799;False;18780.20;TL;18799;3.50;18800;120.00;20323;True;20323.00;373.78;20332;4.15;20342;120.00;16518;True;16518.00;973.84;16518;2.42;16524;120.00;16484;True;16484.00;24.49;16484;0.52;16487;120.00;16342;False;16339.40;TL;16344;4.44;16356;120.00;15498;False;15494.60;TL;15498;2.28;15502;120.00
6;200;1;20016;True;20016.00;18.32;20018;0.27;20016;1.32;21079;True;21079.00;5.67;21079;0.35;21079;3.94;17274;True;17274.00;11.39;17279;0.64;17276;120.00;17220;True;17220.00;30.38;17220;0.44;17220;6.36;17288;True;17288.00;4.13;17288;0.18;17288;9.87;16104;True;16104.00;4.75;16104;0.42;16104;32.80
6;200;2;17709;False;17707.30;TL;17709;0.75;17709;120.00;18971;False;18966.70;TL;18972;0.54;18976;120.00;15679;False;15673.70;TL;15687;3.93;15679;120.00;15590;True;15590.00;29.66;15602;2.99;15590;120.00;15495;True;15495.00;17.25;15506;0.59;15513;120.00;14630;True;14630.00;20.78;14642;1.15;14638;120.00
6;200;3;16014;False;15996.60;TL;16024;7.46;16024;120.00;17389;False;17380.20;TL;17395;5.60;17525;120.00;14469;False;14445.70;TL;14473;7.84;14489;120.00;14437;False;14417.60;TL;14437;7.37;14482;120.00;14111;False;14084.90;TL;14111;4.31;14172;120.00;13691;False;13659.90;TL;13691;5.66;13752;120.00
6;200;4;17450;False;17434.50;TL;17459;4.51;17465;120.00;19329;True;19329.00;148.08;19333;0.42;19359;120.00;15491;True;15489.20;TL;15492;0.63;15491;120.00;15442;True;15442.00;35.91;15442;0.69;15442;120.00;15487;False;15479.40;TL;15487;4.62;15495;120.00;14659;False;14654.60;TL;14659;5.27;14674;120.00
6;200;5;19975;False;19967.10;TL;19975;1.08;19981;120.00;21261;True;21261.00;208.83;21261;0.47;21261;120.00;17581;False;17564.50;TL;17581;1.57;17611;120.00;17544;False;17525.80;TL;17544;3.29;17580;120.00;17426;False;17423.00;TL;17426;3.41;17440;120.00;16559;False;16551.80;TL;16559;3.16;16567;120.00
6;200;6;17378;False;17371.60;TL;17378;2.05;17389;120.00;18919;True;18919.00;1342.83;18919;1.70;18968;120.00;15351;False;15341.20;TL;15356;2.55;15361;120.00;15347;False;15333.80;TL;15349;4.39;15353;120.00;15015;False;15004.90;TL;15018;4.94;15035;120.00;14416;False;14406.90;TL;14416;4.30;14441;120.00
6;200;7;16608;True;16608.00;29.73;16612;0.68;16635;120.00;18168;False;18160.30;TL;18169;4.81;18190;120.00;14575;True;14571.40;TL;14580;0.62;14581;120.00;14541;True;14540.00;TL;14544;1.92;14541;120.00;14518;True;14518.00;3456.67;14520;2.18;14520;120.00;13755;True;13755.00;17.69;13760;2.53;13755;120.00
