storage,source_variant,capacity,num_orders,inst_num,bks_value,bks_is_opt,bks_source_policy,optimal_block_bks,any_policy_improves_optimal,source,doi
CBD,LargestGap,30,20,0,3077,True,optimal,3077,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,1,3168,True,optimal,3168,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,2,3509,True,optimal,3509,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,3,2814,True,optimal,2814,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,4,2763,True,optimal,2763,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,5,3538,True,optimal,3538,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,6,3314,True,optimal,3314,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,7,3780,True,optimal,3780,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,8,4127,True,optimal,4127,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,9,4158,True,optimal,4158,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,10,3647,True,optimal,3647,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,11,3285,True,optimal,3285,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,12,3695,True,optimal,3695,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,13,3996,True,optimal,3996,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,14,3958,True,optimal,3958,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,15,2907,True,optimal,2907,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,16,3330,True,optimal,3330,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,17,3352,True,optimal,3352,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,18,3992,True,optimal,3992,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,19,2814,True,optimal,2814,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,20,3171,True,optimal,3171,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,21,3575,True,optimal,3575,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,22,3208,True,optimal,3208,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,23,4408,True,optimal,4408,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,24,2250,True,optimal,2250,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,25,3511,True,optimal,3511,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,26,3608,True,optimal,3608,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,27,3664,True,optimal,3664,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,28,3772,True,optimal,3772,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,29,3642,True,optimal,3642,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,30,2967,True,optimal,2967,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,31,4128,True,optimal,4128,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,32,3254,True,optimal,3254,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,33,4109,True,optimal,4109,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,34,2679,True,optimal,2679,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,35,3009,True,optimal,3009,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,36,3344,True,optimal,3344,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,37,3482,True,optimal,3482,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,38,2909,True,optimal,2909,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,20,39,3359,True,optimal,3359,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,0,4557,True,optimal,4557,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,1,4425,True,optimal,4425,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,2,4807,True,optimal,4807,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,3,5767,True,optimal,5767,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,4,6393,True,optimal,6393,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,5,6311,True,optimal,6311,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,6,4633,True,optimal,4633,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,7,5131,True,optimal,5131,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,8,4531,True,optimal,4531,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,9,4457,True,optimal,4457,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,10,4984,True,optimal,4984,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,11,4370,True,optimal,4370,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,12,5521,True,optimal,5521,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,13,4838,True,optimal,4838,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,14,4924,True,optimal,4924,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,15,4190,True,optimal,4190,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,16,4580,True,optimal,4580,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,17,5052,True,optimal,5052,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,18,4259,True,optimal,4259,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,19,4983,True,optimal,4983,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,20,4093,True,optimal,4093,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,21,4137,True,optimal,4137,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,22,5708,True,optimal,5708,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,23,4867,True,optimal,4867,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
CBD,LargestGap,30,30,24,6386,True,optimal,6386,False,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198
