instance_set,instance_name,reference_value,reference_runtime,reference_is_opt,reference_type,reference_source,reference_policy
BahceciOencan,Pr_20_1_20_Store1_01,127.2,0.155,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_02,119.2,0.148,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_03,133.2,0.154,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_04,123.2,0.14,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_05,121.2,0.137,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_06,131.2,0.144,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_07,121.2,0.138,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_08,118.0,0.169,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_09,117.2,0.155,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_10,103.2,0.153,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_11,125.2,0.15,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_12,120.0,0.127,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_13,128.0,0.157,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_14,116.8,0.161,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_15,107.2,0.176,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_16,127.2,0.128,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_17,109.2,0.14,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_18,133.2,0.146,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_19,123.2,0.248,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_20,111.2,0.154,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_21,127.2,0.137,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_22,123.2,0.133,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_23,125.2,0.158,True,optimum,Heßler & Irnich (2022),optimal
BahceciOencan,Pr_20_1_20_Store1_24,115.2,0.128,True,optimum,Heßler & Irnich (2022),optimal
