InstanceId,Replication,NbPickers,NbAisles,StorageLocationAssignmentPolicy,BatchCapacity,Due time,NbOrders,UBILS,Cpu(s),NbBatchesInSol,UBCGH,LBRootAfterCuts,RootGap(%),NbColumns,SizePool,NbIterLP(roundsOfCuts),NbIterMasterPricing,NbIterFindInPool,InitialUBPool,LBBeforeCuts,NbMTcuts,NbFSLcuts,NbR1cuts,NbSCcuts,TimePricing(s),TimePdyn(s),TimeMaster(s),TimeHeuristic(s),TimeInitTours(s),TimeMIP(s),TimeCuts(s),timeInitPool(s)
16.0,1.0,4.0,12.0,1.0,30.0,1.0,100.0,305840.0,14918.0,33.0,305016.0,279184.06,9.25,18199.0,7940.0,1.0,169.0,77.0,311892.0,279184.06,0.0,0.0,0.0,0.0,13278.17,109.85,0.68,82.31,11.65,517.11,0.0,600.28
17.0,1.0,3.0,12.0,1.0,30.0,2.0,100.0,268896.0,15046.0,29.0,268846.0,219567.78,22.44,20045.0,15012.0,1.0,222.0,169.0,276404.0,219567.78,0.0,0.0,0.0,0.0,13331.72,112.93,0.92,84.03,12.9,601.06,0.0,601.14
18.0,1.0,4.0,12.0,1.0,30.0,3.0,100.0,256420.0,15042.0,28.0,260508.0,203595.37,27.95,20326.0,10886.0,1.0,196.0,131.0,265858.0,203595.37,0.0,0.0,0.0,0.0,13326.45,105.53,0.86,98.48,12.66,600.46,0.0,600.5
43.0,1.0,3.0,12.0,2.0,30.0,1.0,100.0,219278.0,14492.0,27.0,218018.0,212633.35,2.53,19107.0,7124.0,1.0,252.0,129.0,228222.0,212633.35,0.0,0.0,0.0,0.0,13225.64,116.86,1.21,263.81,11.12,90.04,0.0,600.54
44.0,1.0,3.0,12.0,2.0,30.0,2.0,100.0,203742.0,14538.0,26.0,203030.0,193511.13,4.92,22551.0,18004.0,1.0,317.0,217.0,210032.0,193511.13,0.0,0.0,0.0,0.0,13333.99,129.99,1.48,118.22,10.48,137.36,0.0,601.74
45.0,1.0,4.0,12.0,2.0,30.0,3.0,100.0,201350.0,15111.0,25.0,200998.0,197534.91,1.75,25709.0,12504.0,1.0,327.0,196.0,209232.0,197534.91,0.0,0.0,0.0,0.0,13408.82,126.94,2.02,101.7,11.03,600.59,0.0,600.61
70.0,1.0,3.0,12.0,3.0,30.0,1.0,100.0,232510.0,14870.0,27.0,232036.0,189710.81,22.31,19356.0,13460.0,1.0,242.0,171.0,237020.0,189710.81,0.0,0.0,0.0,0.0,13385.52,107.36,1.03,96.27,10.58,426.96,0.0,600.73
71.0,1.0,3.0,12.0,3.0,30.0,2.0,100.0,228188.0,15006.0,27.0,229908.0,198797.87,15.65,20963.0,14802.0,1.0,273.0,196.0,234388.0,198797.87,0.0,0.0,0.0,0.0,13310.07,112.38,1.1,91.15,10.75,600.73,0.0,601.04
72.0,1.0,4.0,12.0,3.0,30.0,3.0,100.0,239470.0,15002.0,28.0,240434.0,200135.49,20.14,19233.0,12655.0,1.0,213.0,149.0,244972.0,200135.49,0.0,0.0,0.0,0.0,13365.93,105.5,0.85,78.68,10.94,600.47,0.0,600.96
97.0,1.0,4.0,24.0,1.0,30.0,1.0,100.0,343062.0,15006.0,25.0,361130.0,36897.78,878.73,15722.0,5586.0,1.0,118.0,75.0,371028.0,36897.78,0.0,0.0,0.0,0.0,12829.58,153.48,0.55,236.21,21.74,600.33,0.0,605.47
98.0,1.0,5.0,24.0,1.0,30.0,2.0,100.0,458204.0,14971.0,30.0,458814.0,281355.92,63.07,17855.0,10449.0,1.0,204.0,145.0,467566.0,281355.92,0.0,0.0,0.0,0.0,12983.86,197.94,0.63,124.29,20.73,544.51,0.0,600.73
99.0,1.0,5.0,24.0,1.0,30.0,3.0,100.0,417336.0,15026.0,30.0,446658.0,136099.81,228.18,20151.0,4899.0,1.0,140.0,73.0,446658.0,136099.81,0.0,0.0,0.0,0.0,11990.61,159.24,0.8,809.25,23.0,600.72,0.0,603.9
124.0,1.0,4.0,24.0,2.0,30.0,1.0,100.0,322434.0,15036.0,26.0,331250.0,168456.17,96.64,20757.0,5085.0,1.0,147.0,68.0,345662.0,168456.17,0.0,0.0,0.0,0.0,12858.93,154.72,0.81,173.45,20.61,600.52,0.0,601.93
