InstanceId,Replication,NbPickers,NbAisles,StorageLocati,BatchCapacity,Due time,NbOrders,UpperBoundI,Cpu(s),NbBatchesInS,OptimalValue,LowerBoundRootAfterCuts,RootGap(%),NbColumns,NbIterLP(rou,LowerBoundBeforeCuts,NbMTcuts,NbFSLcuts,NbR1cuts,NbSCcuts,TimePdyn(s),TimeMaster(s),TimeInitTours,TimeMIP(s),TimeCuts(s)
1.0,1.0,2.0,12.0,1.0,4.0,1.0,18.0,106614.0,1.43,8.0,105690.0,105690.0,0.0,649.0,3.0,105413.0,0.0,0.0,40.0,10.0,0.66,0.0,0.67,0.06,0.65
2.0,1.0,2.0,12.0,1.0,4.0,2.0,18.0,113430.0,0.29,9.0,113430.0,113430.0,0.0,294.0,1.0,113430.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.01,0.07
3.0,1.0,2.0,12.0,1.0,4.0,3.0,18.0,95244.0,0.82,8.0,95244.0,95244.0,0.0,1214.0,2.0,95100.75,0.0,0.0,20.0,0.0,0.65,0.0,0.65,0.07,0.08
4.0,1.0,2.0,12.0,1.0,4.0,1.0,12.0,80076.0,0.06,6.0,80076.0,80076.0,0.0,85.0,1.0,80076.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.01
5.0,1.0,2.0,12.0,1.0,4.0,2.0,12.0,94170.0,0.07,7.0,94170.0,94170.0,0.0,73.0,2.0,93894.0,0.0,0.0,20.0,3.0,0.03,0.0,0.03,0.0,0.03
6.0,1.0,2.0,12.0,1.0,4.0,3.0,12.0,76848.0,0.13,6.0,76650.0,76650.0,0.0,118.0,3.0,75608.0,0.0,0.0,33.0,2.0,0.07,0.0,0.07,0.0,0.05
7.0,1.0,2.0,12.0,1.0,4.0,1.0,6.0,78480.0,0.01,6.0,78480.0,78480.0,0.0,6.0,1.0,78480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2.0,12.0,1.0,4.0,2.0,6.0,39690.0,0.01,3.0,39690.0,39690.0,0.0,17.0,1.0,39690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1.0,2.0,12.0,1.0,4.0,3.0,6.0,66096.0,0.01,5.0,66096.0,66096.0,0.0,7.0,1.0,66096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,2.0,12.0,1.0,8.0,1.0,18.0,44046.0,32.69,3.0,44046.0,44046.0,0.0,34385.0,1.0,44046.0,0.0,0.0,0.0,0.0,27.99,0.11,29.49,1.45,0.03
11.0,1.0,2.0,12.0,1.0,8.0,2.0,18.0,54888.0,18.74,4.0,54888.0,54888.0,0.0,19150.0,1.0,54888.0,0.0,0.0,0.0,0.0,17.02,0.05,17.47,0.66,0.03
12.0,1.0,2.0,12.0,1.0,8.0,3.0,18.0,60600.0,9.71,4.0,60600.0,60600.0,0.0,10521.0,2.0,60582.0,0.0,0.0,20.0,0.0,8.66,0.04,8.81,0.59,0.07
13.0,1.0,2.0,12.0,1.0,8.0,1.0,12.0,78630.0,0.26,5.0,78630.0,78630.0,0.0,314.0,1.0,78630.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.01,0.01
14.0,1.0,2.0,12.0,1.0,8.0,2.0,12.0,53382.0,0.6,4.0,53382.0,53382.0,0.0,710.0,2.0,53310.0,0.0,0.0,20.0,0.0,0.54,0.0,0.54,0.02,0.02
