problem type;benchmark set;filename;number of orders;capacity;random seed;policy;opt?;UB;LB;time [s]
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_01.txt;8;20;1;optimal;true;127,2;127,2;0,155
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_02.txt;8;20;2;optimal;true;119,2;119,2;0,148
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_03.txt;8;20;3;optimal;true;133,2;133,2;0,154
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_04.txt;8;20;4;optimal;true;123,2;123,2;0,14
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_05.txt;8;20;5;optimal;true;121,2;121,2;0,137
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_06.txt;8;20;6;optimal;true;131,2;131,2;0,144
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_07.txt;8;20;7;optimal;true;121,2;121,2;0,138
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_08.txt;8;20;8;optimal;true;118;118;0,169
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_09.txt;8;20;9;optimal;true;117,2;117,2;0,155
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_10.txt;8;20;10;optimal;true;103,2;103,2;0,153
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_11.txt;8;20;11;optimal;true;125,2;125,2;0,15
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_12.txt;8;20;12;optimal;true;120;120;0,127
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_13.txt;8;20;13;optimal;true;128;128;0,157
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_14.txt;8;20;14;optimal;true;116,8;116,8;0,161
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_15.txt;8;20;15;optimal;true;107,2;107,2;0,176
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_16.txt;8;20;16;optimal;true;127,2;127,2;0,128
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_17.txt;8;20;17;optimal;true;109,2;109,2;0,14
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_18.txt;8;20;18;optimal;true;133,2;133,2;0,146
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_19.txt;8;20;19;optimal;true;123,2;123,2;0,248
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_20.txt;8;20;20;optimal;true;111,2;111,2;0,154
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_21.txt;8;20;21;optimal;true;127,2;127,2;0,137
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_22.txt;8;20;22;optimal;true;123,2;123,2;0,133
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_23.txt;8;20;23;optimal;true;125,2;125,2;0,158
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_24.txt;8;20;24;optimal;true;115,2;115,2;0,128
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_25.txt;8;20;25;optimal;true;123,2;123,2;0,164
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_26.txt;8;20;26;optimal;true;112;112;0,196
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_27.txt;8;20;27;optimal;true;102,4;102,4;0,142
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_28.txt;8;20;28;optimal;true;133,2;133,2;0,202
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_29.txt;8;20;29;optimal;true;123,2;123,2;0,171
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store1_30.txt;8;20;30;optimal;true;125,2;125,2;0,148
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_01.txt;8;20;1;optimal;true;66,4;66,4;0,108
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_02.txt;8;20;2;optimal;true;75,2;75,2;0,095
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_03.txt;8;20;3;optimal;true;66,4;66,4;0,098
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_04.txt;8;20;4;optimal;true;99,2;99,2;0,125
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_05.txt;8;20;5;optimal;true;113,2;113,2;0,17
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_06.txt;8;20;6;optimal;true;97,2;97,2;0,096
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_07.txt;8;20;7;optimal;true;103,2;103,2;0,169
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_08.txt;8;20;8;optimal;true;107,2;107,2;0,135
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_09.txt;8;20;9;optimal;true;99,2;99,2;0,131
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_10.txt;8;20;10;optimal;true;97,2;97,2;0,126
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_11.txt;8;20;11;optimal;true;101,2;101,2;0,154
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_12.txt;8;20;12;optimal;true;93,2;93,2;0,132
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_13.txt;8;20;13;optimal;true;129,2;129,2;0,137
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_14.txt;8;20;14;optimal;true;107,2;107,2;0,127
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_15.txt;8;20;15;optimal;true;83,2;83,2;0,125
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_16.txt;8;20;16;optimal;true;91,2;91,2;0,094
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_17.txt;8;20;17;optimal;true;93,2;93,2;0,106
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_18.txt;8;20;18;optimal;true;77,2;77,2;0,094
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_19.txt;8;20;19;optimal;true;85,2;85,2;0,136
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_20.txt;8;20;20;optimal;true;85,2;85,2;0,132
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_21.txt;8;20;21;optimal;true;101,2;101,2;0,121
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_22.txt;8;20;22;optimal;true;73,2;73,2;0,086
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_23.txt;8;20;23;optimal;true;83,2;83,2;0,143
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_24.txt;8;20;24;optimal;true;71,2;71,2;0,072
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_25.txt;8;20;25;optimal;true;83,2;83,2;0,077
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_26.txt;8;20;26;optimal;true;105,2;105,2;0,157
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_27.txt;8;20;27;optimal;true;69,2;69,2;0,055
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_28.txt;8;20;28;optimal;true;89,2;89,2;0,102
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_29.txt;8;20;29;optimal;true;75,2;75,2;0,1
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store2_30.txt;8;20;30;optimal;true;95,2;95,2;0,125
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store3_01.txt;8;20;1;optimal;true;76;76;0,177
OrderBatching;BAHCECI_ONCAN;Pr_20_1_20_Store3_02.txt;8;20;2;optimal;true;78,4;78,4;0,139
