problem type;benchmark set;filename;number of orders;capacity;random seed;policy;opt?;UB;LB;time [s]
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-0.txt;20;30;0;optimal;true;3.077;3.077;78,584
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-0.txt;20;30;0;largest_gap;true;3.231;3.231;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-0.txt;20;30;0;traversal;true;3.760;3.760;92,049
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-1.txt;20;30;1;optimal;true;3.168;3.168;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-1.txt;20;30;1;largest_gap;true;3.416;3.416;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-1.txt;20;30;1;traversal;true;3.972;3.972;306,188
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-2.txt;20;30;2;optimal;true;3.509;3.509;879,86
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-2.txt;20;30;2;largest_gap;true;3.737;3.737;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-2.txt;20;30;2;traversal;true;4.462;4.462;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-3.txt;20;30;3;optimal;true;2.814;2.814;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-3.txt;20;30;3;largest_gap;true;2.949;2.949;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-3.txt;20;30;3;traversal;true;3.230;3.230;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-4.txt;20;30;4;optimal;true;2.763;2.763;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-4.txt;20;30;4;largest_gap;true;2.885;2.885;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-4.txt;20;30;4;traversal;true;3.301;3.301;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-5.txt;20;30;5;optimal;true;3.538;3.538;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-5.txt;20;30;5;largest_gap;true;3.807;3.807;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-5.txt;20;30;5;traversal;true;4.289;4.289;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-6.txt;20;30;6;optimal;true;3.314;3.314;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-6.txt;20;30;6;largest_gap;true;3.428;3.428;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-6.txt;20;30;6;traversal;true;4.100;4.100;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-7.txt;20;30;7;optimal;true;3.780;3.780;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-7.txt;20;30;7;largest_gap;true;3.942;3.942;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-7.txt;20;30;7;traversal;true;4.474;4.474;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-8.txt;20;30;8;optimal;true;4.127;4.127;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-8.txt;20;30;8;largest_gap;true;4.366;4.366;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-8.txt;20;30;8;traversal;true;4.916;4.916;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-9.txt;20;30;9;optimal;true;4.158;4.158;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-9.txt;20;30;9;largest_gap;true;4.502;4.502;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C30\1l-20-30-9.txt;20;30;9;traversal;true;5.095;5.095;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-0.txt;20;45;0;optimal;true;2.362;2.362;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-0.txt;20;45;0;largest_gap;true;2.572;2.572;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-0.txt;20;45;0;traversal;true;2.701;2.701;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt;20;45;1;optimal;true;2.485;2.485;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt;20;45;1;largest_gap;true;2.611;2.610,67;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-1.txt;20;45;1;traversal;true;2.815;2.814,56;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt;20;45;2;optimal;true;2.195;2.195;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt;20;45;2;largest_gap;true;2.364;2.364;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-2.txt;20;45;2;traversal;true;2.488;2.488;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-3.txt;20;45;3;optimal;true;2.196;2.196;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-3.txt;20;45;3;largest_gap;true;2.382;2.382;28,383
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-3.txt;20;45;3;traversal;true;2.397;2.397;4,448
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-4.txt;20;45;4;optimal;true;2.201;2.201;3,546
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-4.txt;20;45;4;largest_gap;true;2.376;2.376;48,377
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-4.txt;20;45;4;traversal;true;2.494;2.494;7,355
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-5.txt;20;45;5;optimal;true;2.152;2.152;4,301
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-5.txt;20;45;5;largest_gap;true;2.278;2.278;2,773
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-5.txt;20;45;5;traversal;true;2.422;2.422;9,995
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-6.txt;20;45;6;optimal;true;2.544;2.543,67;2,691
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-6.txt;20;45;6;largest_gap;true;2.769;2.769;6,54
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-6.txt;20;45;6;traversal;true;2.793;2.792,54;24,421
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-7.txt;20;45;7;optimal;true;2.121;2.120,61;664,922
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-7.txt;20;45;7;largest_gap;true;2.283;2.282,56;56,262
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-7.txt;20;45;7;traversal;true;2.369;2.369;234,146
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-8.txt;20;45;8;optimal;true;2.629;2.629;45,369
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-8.txt;20;45;8;largest_gap;true;2.761;2.761;27,707
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-8.txt;20;45;8;traversal;true;2.970;2.969,53;817,044
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-9.txt;20;45;9;optimal;true;2.604;2.604;147
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-9.txt;20;45;9;largest_gap;true;2.757;2.757;213,435
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C45\2l-20-45-9.txt;20;45;9;traversal;true;2.876;2.875,60;219,447
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-0.txt;20;60;0;optimal;true;1.860;1.859,56;283,644
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-0.txt;20;60;0;largest_gap;true;2.014;2.013,90;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-0.txt;20;60;0;traversal;true;2.028;2.028;348,299
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt;20;60;1;optimal;false;1.844;1.827,76;226,604
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt;20;60;1;largest_gap;true;2.019;2.018,58;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt;20;60;1;traversal;false;2.107;2.053,25;2625,73
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt;20;60;2;optimal;true;1.903;1.903;577,48
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt;20;60;2;largest_gap;true;2.073;2.073;30,586
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt;20;60;2;traversal;true;2.079;2.079;915,581
