;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
30;20;0;3760;True;3760.00;0.03;3760;0.03;3760;0.01;4818;True;4818.00;0.00;4818;0.01;4818;0.01;3274;True;3274.00;0.01;3274;0.02;3274;0.02;3231;True;3231.00;0.01;3231;0.01;3231;0.01;3315;True;3315.00;0.00;3315;0.01;3315;0.01;3077;True;3077.00;0.01;3077;0.01;3077;0.01
30;20;1;3972;True;3972.00;0.00;3972;0.00;3972;0.00;4733;True;4733.00;0.00;4733;0.00;4733;0.00;3557;True;3557.00;0.00;3557;0.00;3557;0.00;3416;True;3416.00;0.00;3416;0.00;3416;0.00;3633;True;3633.00;0.00;3633;0.00;3633;0.00;3168;True;3168.00;0.00;3168;0.00;3168;0.00
30;20;2;4462;True;4462.00;0.00;4462;0.00;4462;0.00;5546;True;5546.00;0.00;5546;0.00;5546;0.00;3810;True;3810.00;0.00;3810;0.00;3810;0.00;3737;True;3737.00;0.00;3737;0.00;3737;0.00;3933;True;3933.00;0.00;3933;0.00;3933;0.00;3509;True;3509.00;0.00;3509;0.00;3509;0.00
30;20;3;3230;True;3230.00;0.00;3230;0.00;3230;0.00;4048;True;4048.00;0.00;4048;0.01;4048;0.01;3031;True;3031.00;0.01;3031;0.00;3031;0.01;2949;True;2949.00;0.00;2949;0.00;2949;0.01;3024;True;3024.00;0.00;3024;0.00;3024;0.01;2814;True;2814.00;0.01;2814;0.00;2814;0.01
30;20;4;3301;True;3301.00;0.00;3301;0.00;3301;0.00;4164;True;4164.00;0.00;4164;0.00;4164;0.00;3049;True;3049.00;0.00;3049;0.00;3049;0.00;2885;True;2885.00;0.00;2885;0.00;2885;0.00;3034;True;3034.00;0.00;3034;0.01;3034;0.01;2763;True;2763.00;0.00;2763;0.00;2763;0.01
30;20;5;4289;True;4289.00;0.00;4289;0.00;4289;0.00;5575;True;5575.00;0.05;5590;0.01;5575;0.01;3958;True;3958.00;0.00;3958;0.00;3958;0.00;3807;True;3807.00;0.00;3807;0.00;3807;0.00;3819;True;3819.00;0.00;3819;0.00;3819;0.00;3538;True;3538.00;0.00;3538;0.00;3538;0.00
30;20;6;4100;True;4100.00;0.00;4100;0.00;4100;0.00;5391;True;5391.00;0.00;5391;0.00;5391;0.00;3570;True;3570.00;0.00;3570;0.00;3570;0.00;3428;True;3428.00;0.00;3428;0.00;3428;0.00;3635;True;3635.00;0.00;3635;0.00;3635;0.00;3314;True;3314.00;0.00;3314;0.00;3314;0.00
30;20;7;4474;True;4474.00;0.00;4474;0.00;4474;0.00;5510;True;5510.00;0.00;5510;0.00;5510;0.00;4105;True;4105.00;0.00;4105;0.00;4105;0.00;3942;True;3942.00;0.00;3942;0.00;3942;0.00;4182;True;4182.00;0.00;4182;0.00;4182;0.00;3780;True;3780.00;0.00;3780;0.00;3780;0.00
