;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
30;20;0;4612;True;4612.00;0.00;4612;0.00;4612;0.00;5609;True;5609.00;0.00;5609;0.00;5609;0.00;3988;True;3988.00;0.00;3988;0.00;3988;0.00;3940;True;3940.00;0.00;3940;0.00;3940;0.00;4172;True;4172.00;0.00;4172;0.00;4172;0.00;3743;True;3743.00;0.00;3743;0.00;3743;0.00
30;20;1;4053;True;4053.00;0.00;4053;0.00;4053;0.00;5215;True;5215.00;0.00;5215;0.00;5215;0.00;3884;True;3884.00;0.00;3884;0.00;3884;0.00;3671;True;3671.00;0.00;3671;0.00;3671;0.00;3686;True;3686.00;0.00;3686;0.00;3686;0.00;3450;True;3450.00;0.00;3450;0.00;3450;0.00
30;20;2;3885;True;3885.00;0.00;3885;0.00;3885;0.00;4831;True;4831.00;0.00;4831;0.00;4831;0.00;3614;True;3614.00;0.00;3614;0.00;3614;0.00;3440;True;3440.00;0.00;3440;0.00;3440;0.00;3486;True;3486.00;0.00;3486;0.00;3486;0.00;3207;True;3207.00;0.00;3207;0.00;3207;0.00
30;20;3;4769;True;4769.00;0.00;4769;0.00;4769;0.00;5584;True;5584.00;0.00;5584;0.00;5584;0.00;4194;True;4194.00;0.00;4194;0.00;4194;0.00;4020;True;4020.00;0.00;4020;0.00;4020;0.00;4252;True;4252.00;0.00;4252;0.00;4252;0.00;3877;True;3877.00;0.00;3877;0.00;3877;0.00
30;20;4;3465;True;3465.00;0.00;3465;0.00;3465;0.00;4343;True;4343.00;0.00;4343;0.00;4343;0.00;3164;True;3164.00;0.01;3164;0.01;3164;0.01;3103;True;3103.00;0.00;3103;0.00;3103;0.00;3197;True;3197.00;0.02;3204;0.01;3197;0.01;2922;True;2922.00;0.00;2922;0.00;2922;0.00
30;20;5;4091;True;4091.00;0.00;4091;0.00;4091;0.00;5354;True;5354.00;0.00;5354;0.00;5354;0.00;3772;True;3772.00;0.00;3772;0.00;3772;0.00;3627;True;3627.00;0.00;3627;0.00;3627;0.00;3733;True;3733.00;0.00;3733;0.00;3733;0.00;3448;True;3448.00;0.00;3448;0.00;3448;0.00
30;20;6;4755;True;4755.00;0.00;4755;0.00;4755;0.00;6032;True;6032.00;0.00;6032;0.00;6032;0.00;4226;True;4226.00;0.00;4226;0.00;4226;0.00;4069;True;4069.00;0.00;4069;0.00;4069;0.00;4281;True;4281.00;0.00;4281;0.00;4281;0.00;3959;True;3959.00;0.00;3959;0.00;3959;0.00
30;20;7;4115;True;4115.00;0.00;4115;0.00;4115;0.00;5351;True;5351.00;0.00;5351;0.00;5351;0.00;3851;True;3851.00;0.00;3851;0.00;3851;0.00;3701;True;3701.00;0.00;3701;0.00;3701;0.00;3762;True;3762.00;0.00;3762;0.00;3762;0.00;3505;True;3505.00;0.00;3505;0.00;3505;0.00
