;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
30;20;0;5270;True;5270.00;0.03;5270;0.01;5270;0.04;6900;True;6900.00;0.00;6900;0.00;6900;0.00;4960;True;4960.00;0.00;4960;0.00;4960;0.00;4719;True;4719.00;0.01;4719;0.02;4719;0.01;4738;True;4738.00;0.00;4738;0.00;4738;0.00;4316;True;4316.00;0.00;4316;0.00;4316;0.00
30;20;1;5384;True;5384.00;0.01;5384;0.01;5384;0.00;6960;True;6960.00;0.00;6960;0.00;6960;0.00;5303;True;5303.00;0.00;5303;0.00;5303;0.00;4943;True;4943.00;0.01;4943;0.01;4943;0.00;4949;True;4949.00;0.00;4949;0.00;4949;0.00;4531;True;4531.00;0.00;4531;0.00;4531;0.00
30;20;2;6093;True;6093.00;0.00;6093;0.00;6093;0.00;7613;True;7613.00;0.00;7613;0.00;7613;0.00;5738;True;5738.00;0.00;5738;0.00;5738;0.00;5450;True;5450.00;0.00;5450;0.00;5450;0.00;5481;True;5481.00;0.00;5481;0.00;5481;0.00;4982;True;4982.00;0.00;4982;0.00;4982;0.00
30;20;3;4201;True;4201.00;0.03;4229;0.03;4201;0.02;5485;True;5485.00;0.00;5485;0.00;5485;0.00;4207;True;4207.00;0.09;4207;0.02;4207;0.01;4006;True;4006.00;0.00;4006;0.00;4006;0.00;3841;True;3841.00;0.00;3841;0.00;3841;0.01;3671;True;3671.00;0.10;3672;0.02;3671;0.02
30;20;4;4023;True;4023.00;0.00;4023;0.00;4023;0.00;5451;True;5451.00;0.00;5451;0.00;5451;0.00;4012;True;4012.00;0.03;4012;0.03;4012;0.01;3731;True;3731.00;0.01;3731;0.00;3731;0.01;3685;True;3685.00;0.00;3685;0.00;3685;0.00;3464;True;3464.00;0.01;3464;0.00;3464;0.01
30;20;5;5122;True;5122.00;0.00;5122;0.00;5122;0.00;6702;True;6702.00;0.00;6702;0.00;6702;0.00;5236;True;5236.00;0.00;5236;0.00;5236;0.00;4920;True;4920.00;0.00;4920;0.00;4920;0.00;4709;True;4709.00;0.00;4709;0.00;4709;0.00;4511;True;4511.00;0.00;4511;0.00;4511;0.00
30;20;6;5360;True;5360.00;0.02;5360;0.01;5360;0.00;7090;True;7090.00;0.00;7090;0.00;7090;0.00;5271;True;5271.00;0.00;5271;0.00;5271;0.00;4973;True;4973.00;0.00;4973;0.01;4973;0.00;4960;True;4960.00;0.01;4960;0.01;4960;0.01;4541;True;4541.00;0.00;4541;0.00;4541;0.00
30;20;7;6001;True;6001.00;0.00;6001;0.00;6001;0.00;7737;True;7737.00;0.00;7737;0.00;7737;0.00;5912;True;5912.00;0.00;5912;0.00;5912;0.00;5585;True;5585.00;0.00;5585;0.00;5585;0.00;5526;True;5526.00;0.00;5526;0.00;5526;0.00;5157;True;5157.00;0.00;5157;0.00;5157;0.00
