;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
30;20;0;6144;True;6144.00;0.01;6144;0.00;6144;0.00;7757;True;7757.00;0.00;7757;0.00;7757;0.01;5762;True;5762.00;0.00;5762;0.00;5762;0.00;5468;True;5468.00;0.00;5468;0.00;5468;0.01;5553;True;5553.00;0.00;5553;0.00;5553;0.00;5067;True;5067.00;0.01;5067;0.01;5067;0.00
30;20;1;5225;True;5225.00;0.00;5225;0.00;5225;0.00;6961;True;6961.00;0.00;6961;0.00;6961;0.00;5293;True;5293.00;0.00;5293;0.00;5293;0.00;4973;True;4973.00;0.00;4973;0.00;4973;0.00;4811;True;4811.00;0.00;4811;0.00;4811;0.00;4536;True;4536.00;0.00;4536;0.00;4536;0.00
30;20;2;5277;True;5277.00;0.00;5277;0.00;5277;0.00;6723;True;6723.00;0.00;6723;0.00;6723;0.00;5127;True;5127.00;0.00;5127;0.00;5127;0.00;4868;True;4868.00;0.00;4868;0.00;4868;0.00;4700;True;4700.00;0.00;4700;0.00;4700;0.00;4409;True;4409.00;0.00;4409;0.00;4409;0.00
30;20;3;6051;True;6051.00;0.00;6051;0.00;6051;0.00;7639;True;7639.00;0.00;7639;0.00;7639;0.00;5902;True;5902.00;0.00;5902;0.00;5902;0.00;5591;True;5591.00;0.00;5591;0.00;5591;0.00;5445;True;5445.00;0.00;5445;0.00;5445;0.00;5091;True;5091.00;0.00;5091;0.00;5091;0.00
30;20;4;4641;True;4641.00;0.00;4641;0.00;4641;0.00;6049;True;6049.00;0.00;6049;0.00;6049;0.00;4636;True;4636.00;0.01;4636;0.01;4636;0.00;4387;True;4387.00;0.00;4387;0.00;4387;0.00;4239;True;4239.00;0.00;4239;0.00;4239;0.00;4035;True;4035.00;0.00;4035;0.00;4035;0.00
30;20;5;5491;True;5491.00;0.00;5491;0.00;5491;0.00;7122;True;7122.00;0.00;7122;0.00;7122;0.00;5207;True;5207.00;0.00;5207;0.00;5207;0.00;5024;True;5024.00;0.00;5024;0.00;5024;0.00;5068;True;5068.00;0.00;5068;0.00;5068;0.00;4630;True;4630.00;0.00;4630;0.00;4630;0.00
30;20;6;6513;True;6513.00;0.00;6513;0.00;6513;0.00;8032;True;8032.00;0.00;8032;0.00;8032;0.00;6498;True;6498.00;0.00;6498;0.00;6498;0.00;6074;True;6074.00;0.00;6074;0.00;6074;0.00;5937;True;5937.00;0.00;5937;0.00;5937;0.00;5527;True;5527.00;0.00;5527;0.00;5527;0.00
30;20;7;5311;True;5311.00;0.00;5311;0.00;5311;0.00;6906;True;6906.00;0.00;6906;0.00;6906;0.00;5270;True;5270.00;0.00;5270;0.00;5270;0.00;4876;True;4876.00;0.00;4876;0.00;4876;0.00;4857;True;4857.00;0.00;4857;0.00;4857;0.00;4530;True;4530.00;0.00;4530;0.00;4530;0.00
