;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;20;1;787.8;True;787.80;0.02;787.8;0.03;787.8;0.03;918.8;True;918.80;0.06;920.8;0.05;918.8;0.02;764.0;True;764.00;0.01;764.0;0.02;764.0;0.01;732.0;True;732.00;0.02;732.0;0.02;732.0;0.03;737.8;True;737.80;0.57;738.8;0.09;737.8;0.11;699.8;True;699.80;0.13;702.8;0.09;699.8;0.07
24;20;2;798.4;True;798.40;0.17;798.4;0.10;798.4;0.06;941.4;True;941.40;0.02;941.4;0.02;941.4;0.02;777.6;True;777.60;0.18;779.6;0.09;777.6;0.06;747.8;True;747.80;0.12;747.8;0.10;747.8;0.05;744.8;True;744.80;0.03;744.8;0.04;744.8;0.05;707.2;True;707.20;0.05;707.2;0.05;707.2;0.08
24;20;3;817.4;True;817.40;0.14;819.4;0.09;817.4;0.07;958.2;True;958.20;0.01;958.2;0.01;958.2;0.01;821.4;True;821.40;0.02;821.4;0.02;821.4;0.02;776.4;True;776.40;0.01;776.4;0.01;776.4;0.01;770.4;True;770.40;0.07;773.4;0.08;770.4;0.03;726.4;True;726.40;0.02;726.4;0.01;726.4;0.02
24;20;4;709.0;True;709.00;0.01;709.0;0.01;709.0;0.01;851.2;True;851.20;0.08;852.2;0.03;851.2;0.03;683.2;True;683.20;0.01;683.2;0.01;683.2;0.01;654.2;True;654.20;0.01;654.2;0.01;654.2;0.01;668.0;True;668.00;0.17;675.8;0.10;668.0;0.05;628.0;True;628.00;0.02;628.0;0.02;628.0;0.03
24;20;5;650.2;True;650.20;0.01;650.2;0.01;650.2;0.01;766.2;True;766.20;0.01;766.2;0.02;766.2;0.02;702.4;True;702.40;0.02;702.4;0.02;702.4;0.02;667.4;True;667.40;0.02;667.4;0.02;667.4;0.05;621.2;True;621.20;0.03;621.2;0.03;621.2;0.04;611.2;True;611.20;0.38;612.2;0.10;611.2;0.11
24;20;6;598.8;True;598.80;0.59;598.8;0.12;598.8;0.10;713.4;True;713.40;0.61;716.6;0.16;713.4;0.23;604.6;True;604.60;0.02;604.6;0.02;604.6;0.02;590.6;True;590.60;0.29;590.6;0.12;590.6;0.10;568.6;True;568.60;0.10;568.6;0.09;568.6;0.09;559.8;True;559.80;0.35;560.8;0.16;559.8;0.24
24;20;7;667.4;True;667.40;0.04;667.4;0.05;667.4;0.05;798.2;True;798.20;0.02;798.2;0.02;798.2;0.02;636.4;True;636.40;0.02;636.4;0.02;636.4;0.02;619.6;True;619.60;0.01;619.6;0.01;619.6;0.02;622.0;True;622.00;0.29;622.0;0.08;622.0;0.12;598.4;True;598.40;0.04;598.4;0.04;598.4;0.06
24;20;8;683.0;True;683.00;0.20;683.0;0.06;683.0;0.07;869.0;True;869.00;0.01;869.0;0.01;869.0;0.01;635.0;True;635.00;0.02;635.0;0.02;635.0;0.02;623.0;True;623.00;0.02;623.0;0.02;623.0;0.02;621.0;True;621.00;0.01;621.0;0.01;621.0;0.01;603.0;True;603.00;0.11;604.8;0.07;603.0;0.06
