delta,orders_n,aisles_S,bks_value,routing_policy,status,source,doi,source_url
5,5,8,348.59,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,6,8,364.81,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,7,8,374.81,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,8,8,503.75,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,9,8,539.61,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,10,8,581.42,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,11,8,613.51,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,12,8,621.35,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,13,8,623.39,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,14,8,639.31,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,15,8,653.42,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,20,8,870.37,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,25,8,1095.89,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
5,30,8,1173.86,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,5,8,371.09,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,6,8,377.09,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,7,8,549.8,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,8,8,584.18,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,9,8,637.37,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,10,8,661.8,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,11,8,699.8,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,12,8,707.71,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,13,8,725.71,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,14,8,727.8,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
10,15,8,882.61,optimal,proven optimum,"Wahlen (2026), Table B.15",10.1016/j.ejor.2025.08.055,https://www.sciencedirect.com/science/article/pii/S0377221725006927
