storage,source_variant,capacity,num_orders,inst_num,bks_value,bks_is_opt,bks_source_policy,optimal_block_bks,optimal_block_bks_is_opt,any_policy_improves_optimal,bks_definition,source,doi,source_url
CBD,LargestGap,30,20,0,3077,True,optimal,3077,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,1,3168,True,optimal,3168,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,2,3509,True,optimal,3509,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,3,2814,True,optimal,2814,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,4,2763,True,optimal,2763,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,5,3538,True,optimal,3538,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,6,3314,True,optimal,3314,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,7,3780,True,optimal,3780,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,8,4127,True,optimal,4127,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,9,4158,True,optimal,4158,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,10,3647,True,optimal,3647,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,11,3285,True,optimal,3285,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,12,3695,True,optimal,3695,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,13,3996,True,optimal,3996,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,14,3958,True,optimal,3958,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,15,2907,True,optimal,2907,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,16,3330,True,optimal,3330,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,17,3352,True,optimal,3352,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,18,3992,True,optimal,3992,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,19,2814,True,optimal,2814,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,20,3171,True,optimal,3171,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,21,3575,True,optimal,3575,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,22,3208,True,optimal,3208,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,23,4408,True,optimal,4408,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,24,2250,True,optimal,2250,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,25,3511,True,optimal,3511,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
CBD,LargestGap,30,20,26,3608,True,optimal,3608,True,False,best feasible published value across W&G routing-policy BKS blocks for the same underlying instance,Wahlen & Gschwind (2023),10.1287/trsc.2023.1198,https://pubsonline.informs.org/doi/10.1287/trsc.2023.1198
