Instance;Instance;Instance;Instance;Instance;Instance;Instance;Solution;Solution;Solution;Solution
problem type;benchmark set;filename;number of orders;capacity;random seed;policy;opt?;UB;LB;time [s]
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_1.txt;20;24;1;optimal;true;649;649;397,606
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_1.txt;20;24;1;largest_gap;true;676;676,00;7,492
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_1.txt;20;24;1;midpoint;true;702;702,00;2,72
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_1.txt;20;24;1;return;true;869;868,80;10,877
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_1.txt;20;24;1;traversal;true;743;743;13,198
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_1.txt;20;24;1;composite;true;655;654,75;138,342
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_2.txt;20;24;2;optimal;true;655;655;458,108
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_2.txt;20;24;2;largest_gap;true;692;692;357,505
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_2.txt;20;24;2;midpoint;true;712;711,60;145,944
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_2.txt;20;24;2;return;true;892;892,40;30,744
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_2.txt;20;24;2;traversal;true;752;752;153,712
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_2.txt;20;24;2;composite;true;666;665,54;264,7
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_3.txt;20;24;3;optimal;true;674;674;46,928
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_3.txt;20;24;3;largest_gap;true;718;718,40;8,792
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_3.txt;20;24;3;midpoint;true;754;754,40;6,76
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_3.txt;20;24;3;return;true;909;909,15;2,912
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_3.txt;20;24;3;traversal;true;770;770;33,316
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_3.txt;20;24;3;composite;true;686;686,40;30,049
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_4.txt;20;24;4;optimal;true;580;580;16,428
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_4.txt;20;24;4;largest_gap;true;605;605,20;4,453
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_4.txt;20;24;4;midpoint;true;627;627,20;2,489
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_4.txt;20;24;4;return;true;809;809,20;8,109
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_4.txt;20;24;4;traversal;true;668;668;2,696
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_4.txt;20;24;4;composite;true;588;588,00;7,342
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_5.txt;20;24;5;optimal;true;569;569;92,842
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_5.txt;20;24;5;largest_gap;true;620;620;34,006
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_5.txt;20;24;5;midpoint;true;648;648,40;17,487
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_5.txt;20;24;5;return;true;725;725,20;15,733
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_5.txt;20;24;5;traversal;true;613;613;2,938
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_5.txt;20;24;5;composite;true;571;571;50,273
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_6.txt;20;24;6;optimal;true;523;523;1609,77
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_6.txt;20;24;6;largest_gap;true;550;549,52;288,144
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_6.txt;20;24;6;midpoint;true;562;561,57;28,652
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_6.txt;20;24;6;return;true;678;678;153,836
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_6.txt;20;24;6;traversal;true;565;565;142,542
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_6.txt;20;24;6;composite;true;526;525,51;627,451
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_7.txt;20;24;7;optimal;true;552;552;36,411
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_7.txt;20;24;7;largest_gap;true;572;572;17,551
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_7.txt;20;24;7;midpoint;true;584;583,60;3,208
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_7.txt;20;24;7;return;true;757;757,20;11,589
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_7.txt;20;24;7;traversal;true;628;628;21,578
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_7.txt;20;24;7;composite;true;560;559,60;78,722
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_8.txt;20;24;8;optimal;true;560;560;126,478
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_8.txt;20;24;8;largest_gap;true;574;574,00;7,862
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_8.txt;20;24;8;midpoint;true;582;582,00;4,026
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_8.txt;20;24;8;return;true;828;828,00;3,274
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_8.txt;20;24;8;traversal;true;644;644;18,523
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_8.txt;20;24;8;composite;true;563;563,20;34,36
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_9.txt;20;24;9;optimal;true;680;680;28,752
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_9.txt;20;24;9;largest_gap;true;720;719,60;14,886
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_9.txt;20;24;9;midpoint;true;738;737,60;4,646
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_9.txt;20;24;9;return;true;929;929,20;0,581
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_9.txt;20;24;9;traversal;true;770;770;1,663
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_9.txt;20;24;9;composite;true;685;685;7,556
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_10.txt;20;24;10;optimal;true;501;501;1275,76
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_10.txt;20;24;10;largest_gap;true;529;529;576,648
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_10.txt;20;24;10;midpoint;true;545;544,80;280,669
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_10.txt;20;24;10;return;true;701;700,71;345,793
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_10.txt;20;24;10;traversal;true;594;594;1711,52
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_20_10.txt;20;24;10;composite;true;501;500,80;140,155
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_1.txt;30;24;1;optimal;false;921;916;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_1.txt;30;24;1;largest_gap;true;959;959;19,829
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_1.txt;30;24;1;midpoint;true;990;990;26,691
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_1.txt;30;24;1;return;true;1.241;1.241,13;290,106
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_1.txt;30;24;1;traversal;true;1.017;1.017;76,728
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_1.txt;30;24;1;composite;false;926;925,00;3600
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_2.txt;30;24;2;optimal;true;994;994;605,215
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_2.txt;30;24;2;largest_gap;true;1.049;1.049;5,12
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_2.txt;30;24;2;midpoint;true;1.114;1.114,40;94,622
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_2.txt;30;24;2;return;true;1.309;1.309,12;148,371
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_2.txt;30;24;2;traversal;true;1.102;1.102;102,514
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_2.txt;30;24;2;composite;true;999;999,13;125,856
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_3.txt;30;24;3;optimal;true;734;734;407,634
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_3.txt;30;24;3;largest_gap;true;775;775;478,462
OrderBatching;MUTER_ONCAN;instances\Muter_Oncan\ins_30_3.txt;30;24;3;midpoint;true;791;791,10;188,327
